Time (s),Channel 1 (V),Channel 2 (V)
-0.001024,-1.582369418856526,10.4245231813761
-0.00102375,-1.593373925740586,10.42082333741889
-0.0010235,-1.62271927743135,10.4245231813761
-0.00102325,-1.655732798083487,10.41712349346168
-0.001023,-1.674073642890246,10.42082333741889
-0.00102275,-1.703418994581036,10.42822302533331
-0.0010225,-1.725428008349129,10.4245231813761
-0.00102225,-1.729096177310493,10.42082333741889
-0.001022,-1.762109697962629,10.42082333741889
-0.00102175,-1.787786880692046,10.42082333741889
-0.0010215,-1.791455049653407,10.4245231813761
-0.00102125,-1.806127725498802,10.43192286929052
-0.001021,-1.831804908228243,10.41712349346168
-0.00102075,-1.846477584073639,10.41712349346168
-0.0010205,-1.879491104725784,10.41342364950447
-0.00102025,-1.894163780571166,10.4245231813761
-0.00102,-1.901500118493867,10.43562271324773
-0.00101975,-1.927177301223312,10.43562271324773
-0.0010195,-1.952854483952753,10.4245231813761
-0.00101925,-1.967527159798149,10.41712349346168
-0.001019,-1.989536173566251,10.41712349346168
-0.00101875,-2.011545187334349,10.4245231813761
-0.0010185,-2.044558707986458,10.4245231813761
-0.00101825,-2.062899552793208,10.42082333741889
-0.001018,-2.081240397599961,10.40232411763284
-0.00101775,-2.106917580329402,10.41342364950447
-0.0010175,-2.128926594097495,10.41342364950447
-0.00101725,-2.147267438904241,10.41342364950447
-0.001017,-2.150935607865598,10.41342364950447
-0.00101675,-2.17294462163367,10.42082333741889
-0.0010165,-2.209626311247168,10.4245231813761
-0.00101625,-2.224298987092563,10.41712349346168
-0.001016,-2.246308000860656,10.4245231813761
-0.00101575,-2.260980676706056,10.4245231813761
-0.0010155,-2.271985183590106,10.42082333741889
-0.00101525,-2.290326028396833,10.42082333741889
-0.001015,-2.319671380087618,10.41342364950447
-0.00101475,-2.345348562817073,10.40972380554726
-0.0010145,-2.363689407623817,10.40972380554726
-0.00101425,-2.374693914507863,10.40602396159005
-0.001014,-2.389366590353267,10.41342364950447
-0.00101375,-2.407707435160013,10.41712349346168
-0.0010135,-2.429716448928085,10.41712349346168
-0.00101325,-2.448057293734839,10.42822302533331
-0.001013,-2.455393631657536,10.4245231813761
-0.00101275,-2.477402645425629,10.42822302533331
-0.0010125,-2.503079828155071,10.41712349346168
-0.00101225,-2.525088841923175,10.41342364950447
-0.001012,-2.550766024652594,10.40972380554726
-0.00101175,-2.569106869459341,10.40232411763284
-0.0010115,-2.576443207382046,10.40602396159005
-0.00101125,-2.591115883227442,10.40602396159005
-0.001011,-2.613124896995534,10.41342364950447
-0.00101075,-2.638802079724982,10.4245231813761
-0.0010105,-2.653474755570384,10.42082333741889
-0.00101025,-2.682820107261148,10.40972380554726
-0.00101,-2.712165458951951,10.40602396159005
-0.00100975,-2.723169965835998,10.40232411763284
-0.0010095,-2.737842641681393,10.39862427367563
-0.00100925,-2.748847148565439,10.40972380554726
-0.001009,-2.785528838178932,10.42082333741889
-0.00100875,-2.796533345062969,10.41712349346168
-0.0010085,-2.803869682985667,10.39862427367563
-0.00100825,-2.818542358831066,10.39492442971842
-0.001008,-2.840551372599159,10.39492442971842
-0.00100775,-2.869896724289949,10.40602396159005
-0.0010075,-2.880901231174001,10.41342364950447
-0.00100725,-2.891905738058057,10.41712349346168
-0.001007,-2.924919258710166,10.41712349346168
-0.00100675,-2.939591934555576,10.41342364950447
-0.0010065,-2.946928272478273,10.41342364950447
-0.00100625,-2.965269117285017,10.41342364950447
-0.001006,-2.98727813105311,10.41712349346168
-0.00100575,-3.012955313782554,10.41342364950446
-0.0010055,-3.016623482743899,10.39862427367563
-0.00100525,-3.045968834434678,10.39862427367563
-0.001005,-3.060641510280086,10.39862427367563
-0.00100475,-3.075314186125481,10.39862427367563
-0.0010045,-3.097323199893574,10.41342364950447
-0.00100425,-3.115664044700328,10.40602396159004
-0.001004,-3.137673058468414,10.39492442971842
-0.00100375,-3.145009396391104,10.40972380554725
-0.0010035,-3.159682072236503,10.41342364950447
-0.00100325,-3.178022917043247,10.40972380554726
-0.001003,-3.192695592888642,10.41712349346168
-0.00100275,-3.214704606656735,10.40972380554726
-0.0010025,-3.244049958347536,10.40232411763284
-0.00100225,-3.269727141076955,10.40602396159005
-0.001002,-3.27706347899966,10.42082333741888
-0.00100175,-3.302740661729105,10.42082333741889
-0.0010015,-3.317413337574501,10.41342364950447
-0.00100125,-3.317413337574501,10.40972380554726
-0.001001,-3.335754182381256,10.40232411763284
-0.00100075,-3.361431365110693,10.40972380554726
-0.0010005,-3.376104040956074,10.40602396159005
-0.00100025,-3.398113054724174,10.39862427367563
-0.001,-3.416453899530918,10.39492442971842
-0.00099975,-3.423790237453615,10.40602396159005
-0.0009995,-3.434794744337662,10.40602396159005
-0.0009992499999999999,-3.460471927067105,10.41342364950447
