Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg),Input Signal Magnitude (dB)
10,0.0149009998056296,-0.0696851133269815,-6.497757891379052,0.012303209412069
10.31177274593055,0.01466461653325943,-0.07250021543183714,-6.704228256272664,0.01217847668149438
10.63326571637161,0.0147995604640491,-0.07533804890561904,-6.912311671789894,0.01235749685951093
10.96478196143185,0.01442579310445478,-0.07822579937741989,-7.127884049211957,0.01219564413457877
11.30663397949639,0.01431081510257122,-0.08147935007778419,-7.350128116331817,0.01176537639963482
11.65914401179832,0.01416825121877315,-0.08484087409201625,-7.57646782367226,0.01181328348874189
12.02264434617413,0.01406171453843421,-0.08827471695283952,-7.81158809467766,0.01158483897847748
12.39747763028944,0.01410014420543428,-0.09177820070847756,-8.051302972364283,0.01153589291053062
12.78399719463024,0.01393064752951176,-0.0957050735268916,-8.300119637933847,0.01146053714876201
13.18256738556408,0.01354638788958291,-0.0993909086179004,-8.556775110147825,0.01127816329320742
13.59356390878525,0.01330649249652117,-0.1038599462633563,-8.820044696701423,0.010905569121875
14.0173741834677,0.01324124817072719,-0.1083212986837194,-9.092255069603311,0.01075796138568645
14.45439770745927,0.01286025995573479,-0.1127743929812993,-9.371407432407281,0.01054449036039473
14.90504643386196,0.01296250266609636,-0.1176237718403375,-9.660379056117382,0.01060857070663771
15.36974515935272,0.01248164990312527,-0.1226766925779949,-9.956370769103131,0.01037689452466703
15.84893192461113,0.0122203746831066,-0.128261563828516,-10.26313818579101,0.009980536606585605
16.34305842723138,0.01193816648721365,-0.1338595290721375,-10.57713829389776,0.009964336689345616
16.85259044750751,0.01153419060682394,-0.1397971313254212,-10.90245601289695,0.009636185738915908
17.37800828749376,0.01155836836394212,-0.1465142089611413,-11.2360830821123,0.009199807806242119
17.91980722375334,0.01132856510453391,-0.1529162022014475,-11.58201024957978,0.008885343577133182
18.47849797422291,0.01103993406204759,-0.1602077103313188,-11.93661508339821,0.008606808787094682
19.05460717963247,0.01040409419039347,-0.1673629421108481,-12.30232325534122,0.008459139550080378
19.64867789993468,0.01036363553530967,-0.17554704721404,-12.67743987338666,0.008227061021577246
20.26127012621143,0.009940703196921389,-0.1838344864819662,-13.0651314877509,0.007630578655775769
20.8929613085404,0.009313051688896574,-0.1926791250169707,-13.46624195160332,0.007256594814868849
21.54434690031883,0.009214936323359015,-0.2017794607244128,-13.8757488116854,0.006787508177314895
22.21604091955812,0.008722574041186983,-0.2115068201177602,-14.2985443354751,0.006318700944614765
22.90867652767772,0.008122593183437931,-0.2217775871616856,-14.7335916479603,0.005955651862164436
23.62290662634462,0.007608351203804443,-0.2325367559996974,-15.1819822032745,0.005342335866634448
24.35940447292027,0.007146539596242819,-0.2441663505770708,-15.64442630762986,0.004722669859278509
25.1188643150958,0.006639809383514802,-0.2559823104535554,-16.11990128813554,0.004299043787498686
25.90200204531324,0.006159377130973081,-0.2692715966458182,-16.60962925493325,0.003555358326473374
26.70955587558985,0.005406536778159043,-0.282751416241561,-17.11413352719033,0.003027666399168344
27.54228703338166,0.004879458178433739,-0.2971926104998205,-17.63229649085673,0.002232044482525571
28.40098047914215,0.004146639985155001,-0.3123471068452373,-18.16700374012746,0.001543609703127442
29.28644564625237,0.003378870390446951,-0.3281803649831932,-18.71709401684315,0.0009258835852664003
