Time (s),Channel 1 (V),Channel 2 (V)
-0.0002125,2.218742535903233,0.6518938238744364
-0.0002,2.219756168601528,0.6515551955456131
-0.0001875,2.220094046167627,0.6515551955456131
-0.000175,2.220769801299824,0.6515551955456131
-0.0001625,2.221107678865923,0.6515551955456131
-0.00015,2.221107678865923,0.6518938238744364
-0.0001375,2.222121311564218,0.6515551955456133
-0.000125,2.222121311564218,0.6518938238744364
-0.0001125,2.222459189130316,0.6515551955456131
-0.0001,2.222121311564218,0.6515551955456131
-8.75E-05,2.223134944262513,0.6515551955456131
-7.50E-05,2.223472821828612,0.6515551955456131
-6.25E-05,2.223472821828612,0.6515551955456131
-5.00E-05,2.224486454526908,0.6515551955456131
-3.75E-05,2.224486454526908,0.6515551955456131
-2.50E-05,2.207592576221981,0.6498620539014972
-1.25E-05,-0.020034217,-0.498765237
0,-0.006856992,-0.502490149
1.249999999999862e-05,-0.004153971,-0.501135636
2.499999999999725e-05,-0.003140339,-0.500458379
3.749999999999587e-05,-0.002802461,-0.499781122
5.000000000000143e-05,-0.002126706,-0.499103866
6.250000000000006e-05,-0.002126706,-0.498426609
7.499999999999868e-05,-0.001788828,-0.497410724
8.74999999999973e-05,-0.001788828,-0.497410724
9.999999999999593e-05,-0.001788828,-0.497072096
0.0001125,-0.001788828,-0.496733467
0.000125,-0.001788828,-0.495717583
0.0001375,-0.001788828,-0.495378954
0.00015,-0.001788828,-0.495378954
0.0001625,-0.001788828,-0.494701698
0.000175,-0.001788828,-0.494701698
0.0001875,-0.001788828,-0.493347184
0.0002,-0.001788828,-0.493347184
0.0002125,-0.002126706,-0.493347184
0.000225,-0.001788828,-0.493347184
0.0002375,-0.001788828,-0.492669928
0.00025,-0.001788828,-0.492669928
0.0002625,-0.001788828,-0.492331299
0.000275,-0.001788828,-0.491315414
0.0002875,-0.001788828,-0.490976786
0.0003,-0.001788828,-0.490299529
0.0003125,-0.001788828,-0.490299529
0.000325,-0.001788828,-0.489622273
0.0003375,-0.001788828,-0.489283644
0.00035,-0.001788828,-0.488606388
0.0003625,-0.001788828,-0.488267759
0.000375,-0.001788828,-0.487590503
0.0003875,-0.001788828,-0.486913246
0.0004,-0.001788828,-0.486913246
0.0004125,-0.001788828,-0.486235989
0.000425,-0.001788828,-0.486235989
0.0004375,-0.001788828,-0.486235989
0.00045,-0.002126706,-0.485897361
0.0004625,-0.001788828,-0.485220104
0.000475,-0.001788828,-0.484542848
0.0004875,-0.001788828,-0.484542848
0.0005,-0.001788828,-0.483865591
0.0005125,-0.001788828,-0.483865591
0.000525,-0.001788828,-0.482172449
0.0005375,-0.001788828,-0.482511078
0.00055,-0.001788828,-0.481495193
0.0005625,-0.001788828,-0.481495193
0.000575,-0.001788828,-0.480479308
0.0005875,-0.001788828,-0.480140679
0.0006,-0.001788828,-0.479463423
0.0006125,-0.001788828,-0.479124794
0.000625,-0.001788828,-0.479124794
0.0006375,-0.001788828,-0.478447538
0.00065,-0.001788828,-0.478108909
0.0006625,-0.001788828,-0.478108909
0.000675,-0.001788828,-0.477431653
0.0006875,-0.001788828,-0.477093024
0.0007,-0.002126706,-0.476754396
0.0007125,-0.001788828,-0.476077139
0.000725,-0.001788828,-0.475399883
0.0007375,-0.001788828,-0.475738511
0.00075,-0.001788828,-0.474722626
0.0007625,-0.001788828,-0.474383998
0.000775,-0.001788828,-0.474045369
0.0007875,-0.001788828,-0.473706741
0.0008,-0.001788828,-0.473029484
0.0008125,-0.001788828,-0.472352228
0.000825,-0.002126706,-0.472013599
0.0008375,-0.001788828,-0.471336343
0.00085,-0.001788828,-0.471336343
0.0008625,-0.001788828,-0.470659086
0.000875,-0.001788828,-0.470659086
0.0008875,-0.002126706,-0.470659086
0.0009,-0.001788828,-0.46998183
0.0009125,-0.001788828,-0.469304573
0.000925,-0.001450951,-0.468965945
0.0009375,-0.001788828,-0.468965945
0.00095,-0.001788828,-0.46795006
0.0009625,-0.001788828,-0.467611431
0.000975,-0.001788828,-0.466934175
0.0009875,-0.002126706,-0.466934175
0.001,-0.001788828,-0.466595546
0.0010125,-0.001788828,-0.465579661
0.001025,-0.002126706,-0.465579661
0.0010375,-0.001788828,-0.464902405
0.00105,-0.001788828,-0.464902405
0.0010625,-0.001450951,-0.463547891
0.001075,-0.001788828,-0.46388652
0.0010875,-0.001788828,-0.46388652
0.0011,-0.001788828,-0.463547891
0.0011125,-0.001788828,-0.462870635
