Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
25.90200204531324,-0.1121376999443312,-0.1302092270277761,-8.10125086793709
26.70955587558985,-0.119227850856037,-0.1365883881968839,-8.345917415119175
27.54228703338166,-0.1268147877633334,-0.1433299409217613,-8.599151506295897
28.40098047914215,-0.1346763537529476,-0.1505082301435482,-8.858372598832517
29.28644564625237,-0.1431207746270008,-0.158108697880301,-9.126755684266058
30.19951720402016,-0.1519191491658464,-0.1658571475829436,-9.403554686380858
31.1410558444676,-0.1615648118503703,-0.1742880108369387,-9.686030403927873
32.11194909364824,-0.1718385428477203,-0.1827886039744034,-9.977790531637027
33.11311214825911,-0.1820074723118188,-0.1922720351940753,-10.27700080912251
34.14548873833601,-0.1930745063898188,-0.2020840727750781,-10.58537875089413
35.21005201684519,-0.205030968873877,-0.2123742976394954,-10.90132895529875
36.30780547701014,-0.2172669030545922,-0.2233393050398433,-11.227945064037
37.4397838982381,-0.2304892299300079,-0.2348075181997994,-11.56283491637413
38.60705432153813,-0.2444395981788508,-0.2469618838202456,-11.90530221062203
39.81071705534973,-0.2592725940549035,-0.2598038260604909,-12.26012997234493
41.05190671273078,-0.2744433099609883,-0.2738125960380005,-12.62197367982949
42.33179328088209,-0.2910845464255488,-0.2877180201018106,-12.99543605086103
43.65158322401661,-0.3084351909773946,-0.3026829285452055,-13.37885429829191
45.01252062061337,-0.3268310471071734,-0.3186762227497508,-13.77123585908026
46.41588833612777,-0.3461178044140934,-0.3355649299940486,-14.1748080929867
47.86300923226385,-0.3664208870963107,-0.3533743847668174,-14.58636988500775
49.35524741394806,-0.3878030592845106,-0.3726335851153185,-15.01258791927649
50.89400951518089,-0.4107009668605858,-0.3920377109158891,-15.44780554571021
52.48074602497726,-0.4346893600359037,-0.4123261568929848,-15.89574268983905
54.11695265464638,-0.4599258946209461,-0.434142608054601,-16.35150075534467
55.80417174769964,-0.4864896828995038,-0.4574065755354977,-16.82262622511648
57.54399373371569,-0.5147616827163649,-0.4816125410858656,-17.30293916576375
59.33805862753281,-0.5442878626236385,-0.5074972827935507,-17.79498053007271
61.18805757518219,-0.575484127759638,-0.5341591188721485,-18.29711700956035
63.09573444801933,-0.6084336431579634,-0.5625983619591074,-18.81446677512238
65.06288748655574,-0.6429458121075825,-0.5922944696459448,-19.34129069585636
67.09137099554111,-0.6795678176874329,-0.6230969039454638,-19.87927052701158
69.18309709189363,-0.7174539300280275,-0.6564552824863805,-20.43168554560071
71.34003750712564,-0.7577934635115717,-0.6904746000592875,-20.99285535683074
73.56422544596414,-0.7998714961350456,-0.7269524079486489,-21.56860907947733
75.85775750291836,-0.8443699871628756,-0.7648402929492898,-22.15714240022655
78.22279563860026,-0.8907991223931575,-0.8046764887100497,-22.75502136925266
80.66156921766135,-0.9397171162571991,-0.8470477428611324,-23.3656688173603
83.17637711026708,-0.991069864764677,-0.890499072311668,-23.98814516075036
85.76958985908942,-1.04451236613582,-0.9366767756644954,-24.62397284726748
88.44365191385998,-1.100583178853634,-0.9850938819055787,-25.26759305447928
91.20108393559097,-1.159682971170617,-1.034849274777603,-25.92503733035332
94.04448517263518,-1.221096201483588,-1.087744025605622,-26.59348883184748
96.97653591082496,-1.285268588676026,-1.142899441575391,-27.27194043430129
100,-1.35271331881745,-1.200753839807326,-27.96491676666768
103.1177274593055,-1.422933992408313,-1.260386957599398,-28.66212156915313
106.3326571637161,-1.495996170927286,-1.323164197993456,-29.37634004968815
109.6478196143185,-1.572170757642082,-1.38889781590116,-30.09538454931995
113.0663397949639,-1.652070695350486,-1.456684554306058,-30.82332661761177
116.5914401179832,-1.734470392162037,-1.528164617557106,-31.56196422943871
120.2264434617413,-1.820698153790799,-1.601562970684585,-32.31243095733246
123.9747763028944,-1.910027043918488,-1.678317049741011,-33.07027690889677
127.8399719463024,-2.003037623233043,-1.758058912160978,-33.83537338858079
131.8256738556407,-2.099213571661204,-1.840940346837653,-34.60761474156354
135.9356390878526,-2.199145268706979,-1.927043232305933,-35.38308242523706
140.173741834677,-2.302696720872958,-2.015862514188462,-36.16840283624478
144.5439770745927,-2.409858464813955,-2.10798808466626,-36.96191324269513
149.0504643386196,-2.52050197159527,-2.204102731405048,-37.75887637491611
153.6974515935272,-2.635464199787299,-2.302402761909334,-38.55857430075602
158.4893192461113,-2.753466044852588,-2.404700017687519,-39.36252717839102
163.4305842723138,-2.875401061280968,-2.510399802898533,-40.17370701297067
168.5259044750751,-3.001204274070961,-2.619335903078172,-40.98937588700416
173.7800828749375,-3.130759023415831,-2.730908159575694,-41.79930044350387
179.1980722375334,-3.263734708509935,-2.846920669108121,-42.61809189793547
184.7849797422291,-3.400749458011989,-2.965970557490461,-43.43723258906198
