Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg),Input Signal Magnitude (dB)
10,0.01665166862178792,-0.05050496614638832,-3.936408155200951,0.012303209412069
10.31177274593055,0.01676360321604169,-0.05022507165726574,-4.061057728330994,0.01217847668149438
10.63326571637161,0.01694013303513917,-0.05026023838737654,-4.188948179775366,0.01235749685951093
10.96478196143185,0.01708839551979524,-0.04974930904054922,-4.318349655619883,0.01219564413457877
11.30663397949639,0.01745700632675448,-0.04996807925638655,-4.454682630237775,0.01176537639963482
11.65914401179832,0.01739025748858744,-0.0496381240810818,-4.594066174732845,0.01181328348874189
12.02264434617413,0.01750048499771351,-0.04967545260473614,-4.738955828280695,0.01158483897847748
12.39747763028944,0.01753626560123958,-0.04906266774760717,-4.886337970447363,0.01153589291053062
12.78399719463024,0.01772215271995766,-0.04882448263574019,-5.038613500703718,0.01146053714876201
13.18256738556408,0.01780894121881029,-0.04831911703378557,-5.198436978199481,0.01127816329320742
13.59356390878525,0.01779411825907968,-0.04799581158602462,-5.362312525034985,0.010905569121875
14.0173741834677,0.01780349270161712,-0.0476442782368796,-5.528901968088931,0.01075796138568645
14.45439770745927,0.01794034273456046,-0.04719842218874402,-5.702680916274275,0.01054449036039473
14.90504643386196,0.01841218810337257,-0.04668964880608972,-5.881277540422877,0.01060857070663771
15.36974515935272,0.01823888329242086,-0.04605635257102579,-6.065047125655724,0.01037689452466703
15.84893192461113,0.01853849564103631,-0.04551782852536907,-6.256475391711467,0.009980536606585605
16.34305842723138,0.01856918633144071,-0.04485385043725428,-6.453733079711697,0.009964336689345616
16.85259044750751,0.01876609177429584,-0.04437868494203732,-6.655445740557397,0.009636185738915908
17.37800828749376,0.01883490298244301,-0.04350296636375674,-6.865614837264943,0.009199807806242119
17.91980722375334,0.01916803548666232,-0.04271066373877594,-7.081597041185219,0.008885343577133182
18.47849797422291,0.01948588108459517,-0.04175050508893899,-7.303728004804825,0.008606808787094682
19.05460717963247,0.01995200005721187,-0.04103842673948985,-7.536014858133406,0.008459139550080378
19.64867789993468,0.0199105730974616,-0.04024727579956858,-7.771061010219341,0.008227061021577246
20.26127012621143,0.02032609943933709,-0.03913346053829863,-8.018083696415619,0.007630578655775769
20.8929613085404,0.02058426810445855,-0.03828357748994627,-8.269913517530227,0.007256594814868849
21.54434690031883,0.02087190814695234,-0.03680449951878673,-8.53218734745424,0.006787508177314895
22.21604091955812,0.02104564253579871,-0.03594515172299741,-8.801818457010796,0.006318700944614765
22.90867652767772,0.02123726895509774,-0.03458099447839828,-9.081030298968273,0.005955651862164436
23.62290662634462,0.02158826801220956,-0.03289395841848603,-9.367611986810687,0.005342335866634448
24.35940447292027,0.02196429211919153,-0.03143181143498867,-9.665835205119983,0.004722669859278509
25.1188643150958,0.02242362386541913,-0.02980531996496591,-9.972474526344769,0.004299043787498686
25.90200204531324,0.02231642856212193,-0.02808723655745466,-10.28995806475082,0.003555358326473374
26.70955587558985,0.02288223796331589,-0.02611108476448104,-10.61744373843915,0.003027666399168344
27.54228703338166,0.02344501570563663,-0.02435865439063041,-10.95694212157466,0.002232044482525571
28.40098047914215,0.02365026558777768,-0.02223575798921445,-11.30467142054859,0.001543609703127442
29.28644564625237,0.02437822548695753,-0.02011704377879457,-11.66721966072934,0.0009258835852664003
30.19951720402016,0.02507509854470879,-0.01785708716131765,-12.04069181446192,0.0004092270641686504
31.1410558444676,0.02546247411350542,-0.01509007588219412,-12.42548170952111,-0.0006398390899707829
32.11194909364824,0.02592839983382835,-0.01258926433328275,-12.82560231704455,-0.001452097051642016
33.11311214825911,0.02649439081342549,-0.009839632758364232,-13.23793798165577,-0.002286235592576256
34.14548873833601,0.02715530139898015,-0.006785316367055081,-13.66504939137495,-0.003198829040647176
35.21005201684519,0.02784306141970305,-0.003393595627011487,-14.10613480560929,-0.004266320432945633
36.30780547701014,0.02869948300546649,2.062502357357062e-05,-14.56214960363403,-0.005333110773851967
37.4397838982381,0.02950877371323855,0.003311435168542039,-15.03624326274024,-0.006439956039537252
38.60705432153813,0.03025844383810461,0.007115828538113097,-15.52391828264714,-0.007755955782210821
39.81071705534973,0.03108194117077167,0.01099123022602055,-16.03091005677683,-0.009039314506774549
41.05190671273078,0.03174625035156628,0.0152131842840364,-16.55559074523842,-0.01059172775758226
42.33179328088209,0.03291240051049353,0.01961350282378909,-17.09863494264268,-0.01146586861503431
43.65158322401661,0.03378816799001532,0.02407554337060561,-17.66001324534222,-0.01320403034154207
45.01252062061337,0.03464131491872362,0.0290838308776175,-18.24258257507523,-0.01467827732115547
46.41588833612777,0.03565087206697111,0.03402519722659958,-18.84457661005377,-0.01636895010340716
47.86300923226385,0.03688174009793896,0.0390793923789454,-19.47173599551317,-0.01829514724376804
49.35524741394806,0.03825269282820808,0.04411203664404905,-20.12020537768208,-0.01984627967752279
50.89400951518089,0.0394537110237066,0.05008086113212476,-20.79197297468448,-0.02179410164741177
52.48074602497726,0.0407290593182932,0.05596434769321681,-21.49025375922713,-0.02393674233789992
54.11695265464638,0.04221854343493693,0.0618181745422263,-22.21496366763346,-0.0259516392510238
55.80417174769964,0.04348834910963788,0.06827541340643417,-22.96819326346009,-0.0284194332988746
57.54399373371569,0.04515736526106302,0.07430411813215498,-23.74992049716897,-0.03071188454315532
59.33805862753281,0.04652029113793989,0.08029704230609905,-24.55780945848744,-0.03294728147035071
61.18805757518219,0.04822106534224022,0.08635111654205872,-25.40134311768104,-0.03534600320328005
